sentence,label,idx
sade achieves the near-impossible ,1,31867
deeply concerned with morality ,1,30861
see a romance this smart ,1,66760
"so sloppy , so uneven , so ",0,42727
"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... crossroads is never much worse than bland or better than inconsequential ",0,40007
does somehow manage to get you under its spell ,1,2042
at keeping themselves kicking ,1,20109
"world traveler might not go anywhere new , or arrive anyplace special , but it 's certainly an honest attempt to get at something . ",1,26927
of the problems with the film ,0,34945
ethnic sleeper ,1,37383
", a ripping good yarn is told . ",1,37107
's what makes it worth a recommendation ,1,37237
keep you engaged ,1,24659
's nothing interesting in unfaithful whatsoever ,0,9605
sit and stare and turn away from one another instead of talking ,0,25613
'm not sure these words have ever been together in the same sentence ,0,17308
"proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast . ",0,14018
castrated ,0,56943
it 's a fantastic movie ,1,33640
", standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill ",0,5701
wedgie ,0,61948
of a brutally honest individual like prophet jack ,1,2792
the best ,1,58694
makes less sense than the bruckheimeresque american action flicks it emulates . ,0,35475
"the jokes , most at women 's expense ",0,46762
perfectly pleasant if ,1,38744
his life drew to a close ,0,24732
's lovely ,1,43984
appreciates the art and reveals a music scene that transcends culture and race . ,1,16461
should be able to appreciate the wonderful cinematography and naturalistic acting . ,1,10485
a snore and ,0,7627
are rendered with such clarity that it 's as if it all happened only yesterday ,1,26315
the cinema world 's great visual stylists ,1,33292
what 's missing in murder by numbers is any real psychological grounding for the teens ' deviant behavior . ,0,54990
"is complex from the start -- and , refreshingly , stays that way . ",1,9290
"is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism . ",1,1410
skilled ,1,47676
"like the imaginary sport it projects onto the screen -- loud , violent and mindless . ",0,2877
considerable ,1,8815
grinds itself out ,0,16585
much as i laughed throughout the movie ,1,24993
emotionally complex ,1,50646
an eloquent memorial ,1,37170
", however entertainingly presented , ",0,46899
with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life ,1,1002
"to mind , while watching eric rohmer 's tribute to a courageous scottish lady ",1,55215
's a solid movie about people whose lives are anything but ,1,8121
contriving ,0,56811
the big summer movies ,1,53588
"a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",1,36143
clooney directs this film always keeping the balance between the fantastic and the believable ... ,1,45612
"that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress ",1,48279
"the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted need n't waste their time on it ",0,27153
"this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . ",1,4356
"watch for that sense of openness , the little surprises . ",1,33289
the script was reportedly rewritten a dozen times -- either 11 times too many or else too few ,0,67037
"as you watch them clumsily mugging their way through snow dogs , ",0,19141
jfk conspiracy nuts ,0,62138
"too goodly , wise and knowing or downright comically evil ",1,41148
the increasingly diverse french director ,1,59672
more than a ,1,55192
has its redundancies ,0,31355
the style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's `` heist '' so much fun ,1,5993
jazzy score ,1,7281
"`` sorority boys '' was funnier , and that movie was pretty bad . ",0,10567
is both a snore and utter tripe . ,0,19117
quickly sinks into by-the-numbers territory . ,0,65976
this 20th anniversary edition of the film ,1,44721
"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . ",0,65000
misconceived final ,0,49309
"might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0,49575
resentment ,0,66330
value whatsoever ,0,5043
that there is nothing in it to engage children emotionally ,0,37066
a captivatingly quirky hybrid ,1,46891
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two ",1,34716
creates images even more haunting than those in mr. spielberg 's 1993 classic ,1,18744
tired retread ,0,56622
sorvino glides gracefully from male persona to female without missing a beat . ,1,45650
opening up ,1,60489
addition to scoring high for originality of plot ,1,15388
daughter ,1,6214
final verdict ,1,43308
by his lack of self-awareness ,0,53323
pulpy ,0,59049
the simpering soundtrack and editing ,0,14048
its economical ,1,34984
cinematic bon bons ,1,130
get out ,0,8024
is wrong in its sequel ,0,51105
"fascination , ",1,24071
is cinema ,1,37889
"the gifts of all involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together . ",1,49195
enthrall the whole family ,1,12342
of all ages ,1,2423
"stuffy , full of itself , ",0,31254
hold onto what 's left of his passe ' chopsocky glory ,0,4763
be underestimated ,0,43368
honest insight ,1,45879
awarded mythic status in contemporary culture ,1,31998
", the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake . ",1,49171
is honestly affecting ,1,26042
more watchable ,1,64560
does not deserve to go down with a ship as leaky as this ,0,20539
"'s a lovely , sad dance highlighted by kwan 's unique directing style ",1,7674
"much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all . ",0,34783
bristles with passion and energy ,1,1818
"shallow , noisy and pretentious . ",0,60328
a banal spiritual quest ,0,51038
"be seen as hip , winking social commentary ",1,33031
this modern mob music drama ,1,8486
for a reasonably intelligent person to get through the country bears ,0,50323
nothing but one relentlessly depressing situation after another for its entire running time ,0,21378
", it uses very little dialogue , making it relatively effortless to read and follow the action at the same time . ",1,58864
a 95-minute commercial ,0,24985
creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries . ,1,1452
"this would have been better than the fiction it has concocted , and ",0,29165
amusing for a good while ,1,3927
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence . ,0,53646
ultimately flawed ,0,24224
"it projects onto the screen -- loud , violent and mindless ",0,34244
real-life persona ,1,52362
letdown ,0,16443
jump-in-your-seat moment ,1,30327
acute expressiveness ,1,25451
is the action as gripping ,1,7721
"are complex and quirky , but entirely believable ",1,3108
"shrewd , powerful act ",1,58084
a definitive counter-cultural document ,1,54190
as well as rank frustration from those in the know about rubbo 's dumbed-down tactics ) ,0,44101
poor casting ,0,56903
`` abandon '' ,0,62887
"particularly balk , who 's finally been given a part worthy of her considerable talents ",1,61234
vacuous ,0,52270
bounces around with limp wrists ,0,21260
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted ",0,50482
outing with one of france 's most inventive directors ,1,9138
even murphy 's expert comic timing and famed charisma ca n't rescue this effort . ,0,37720
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight ",0,61747
find it more than capable of rewarding them ,1,37558
a terrible movie that some people ,0,27556
"saturday night live-style parody , '70s blaxploitation films and goofball action comedy ",1,20553
"ignore the reputation , and ignore the film . ",0,2264
"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . ",1,30462
beneath it ,0,18630
"too goodly , wise and knowing ",1,24944
"however , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome . ",1,3415
"hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress ",0,50937
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . ,1,63831
the movie is loaded with good intentions ,1,2421
"a caffeinated , sloppy brilliance , ",1,6529
"assured , vital and well wrought , the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ",1,15884
smartly and wistfully ,1,46240
has been awarded mythic status in contemporary culture ,1,3152
half-assed ,0,46323
never quite ,0,55159
gentle jesus ,1,13529
"in a way that 's too loud , too goofy and too short of an attention span ",0,34411
warn ,0,28091
is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation . ,1,10629
exasperated by a noticeable lack of pace ,0,54641
would do better elsewhere . ,0,41522
joys ,1,54562
well-behaved film ,1,3831
a little too much resonance with real world events ,0,64152
is too crazy to be interesting ,0,21183
"gangster no. 1 is solid , satisfying fare for adults . ",1,39144
nearly every attempt at humor here is doa . ,0,34561
"girls , right down the reality drain ",0,54549
fantasized ,1,34314
"turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny ",1,36727
wasting ,0,60345
a party-hearty teen flick that scalds like acid . ,0,578
a party-hearty teen ,1,17350
whatever terror the heroes of horror movies try to avoid ,0,32044
"one can honestly describe as looking , sounding and simply feeling like no other film in recent history ",1,11894
the salton sea works the way a good noir should ,1,52485
is uniquely felt with a sardonic jolt . ,1,32313
", plodding picture ",0,193
pretty watchable ,1,12866
", the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster . ",0,19107
made me want to pack raw dough in my ears . ,0,7048
great pleasure ,1,32586
jolt you ,1,49788
the central flaw ,0,40253
a captivating drama ,1,9358
charismatic rising star jake gyllenhaal ,1,39671
"on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb ",1,22533
"sad , occasionally horrifying but often inspiring film ",1,51192
goodness ,1,14207
with cute accents performing ages-old slapstick and unfunny tricks ,0,23493
to think about the ways we consume pop culture ,1,13337
it 's no lie -- big fat liar is a real charmer . ,1,51842
the right bands for the playlist and the costuming of the stars ,1,45004
"ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",0,23222
", kinky fun ",1,12645
stalking ,0,52136
politically potent ,1,65937
when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over ,0,65472
about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length ,0,5180
it is n't quite one of the worst movies of the year . ,0,24316
irresponsible ,0,59367
fused with solid performances and eerie atmosphere ,1,18884
"there 's nothing exactly wrong here , but there 's not nearly enough that 's right . ",0,16038
mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless . ,1,65055
"godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . ",0,22596
"it 's at once laughable and compulsively watchable , in its committed dumbness . ",1,66317
irritates and ,0,133
by a fantastic dual performance from ian holm ,1,19583
the best actors there is ,1,22316
collateral damage is trash ,0,6468
'll need a stronger stomach than us ,0,29271
that will strike a chord with anyone who 's ever ,1,63999
laid-back ,1,14181
applying definition to both sides of the man ,1,61649
each one of these people stand out and ,1,51166
minor classic ,1,11670
a sobering meditation ,1,42831
instantly forgettable ,0,23031
proves to be a compelling ,1,65994
younger lad ,1,13689
"resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates . ",0,29712
estranged from reality ,0,39150
well established ,1,43454
"teen-driven , toilet-humor codswallop ",0,19655
is this bad on purpose ,0,55030
swill ,0,67081
"can not help but love cinema paradiso , whether the original version or new director 's cut . ",1,58726
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ,0,34345
bad at a fraction the budget ,0,18971
deserves a look ,1,61766
a ripping good yarn ,1,47770
may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie ,0,64745
combined with the misconceived final 5 ,0,56770
"layered , well-developed characters and ",1,36440
nonjudgmental ,1,30964
"another week , another gross-out college comedy -- ugh . ",0,13393
pitch-perfect holden ,1,23671
eight legged freaks falls flat as a spoof . ,0,49075
tendentious intervention ,0,30919
the movie 's progression into rambling incoherence ,0,50405
some of the worst dialogue ,0,65109
essentially a collection of bits -- and they 're all naughty . ,1,53973
even bother to rent this on video ,0,17380
"are appealing enough to probably have a good shot at a hollywood career , if they want one ",1,29373
rises to its clever what-if concept . ,1,46289
largest-ever historical canvas ,1,445
an uplifting ,1,55366
an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it did n't try to . ,1,2633
"in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight . ",1,50920
( the kid 's ) just too bratty for sympathy ,0,33708
"an ungainly movie , ill-fitting ",0,40889
with the assassin is structured less as a documentary and more as a found relic ,0,14407
the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him ... there is never really a true `` us '' versus `` them '' ,1,10762
have infused frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own ,1,29657
undercuts ,0,7984
"it picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film . ",1,47523
not falling into the hollywood trap and making a vanity project with nothing new to offer ,1,7464
the sentimental cliches ,0,65899
"a wonderful , imaginative script ",1,32354
that come full circle to end on a positive ( if tragic ) note ,1,12701
"the abiding impression , despite the mild hallucinogenic buzz , is of overwhelming waste -- ",0,46432
", fun , popcorn movies ",1,48267
decay ,0,31128
's definite room for improvement . ,0,45366
putting the primitive murderer inside a high-tech space station unleashes a pandora 's box of special effects that run the gamut from cheesy to cheesier to cheesiest . ,0,31171
"survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine ",0,14359
"others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison 's iconoclastic uses of technology to be liberating . ",1,40254
"'s hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one ",0,39321
once intimate and universal cinema ,1,51879
witty ,1,22575
a fine documentary ,1,64389
stolid remake ,0,47294
does leblanc make one spectacularly ugly-looking broad ,0,34435
any real emotional impact ,0,46411
awfully hard ,0,41324
narrative banality ,0,64354
"this quiet , introspective and entertaining independent ",1,33106
long and relentlessly saccharine film ,0,17124
an unseemly pleasure ,1,64954
an extremely unpleasant film . ,0,211
reap more rewards ,1,47151
the feeling of having been slimed in the name of high art ,0,19996
( the cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ' ,1,9730
a better lot ,1,39154
playstation cocktail ,0,60004
subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,0,23305
"while somewhat less than it might have been , the film is a good one , and ",1,7596
choke ,0,63139
"'s muy loco , but no more ridiculous than most of the rest of `` dragonfly ",0,19316
"director carl franklin , so crisp and economical in one false move , ",1,56053
sincerely crafted picture ,1,29920
much baked cardboard ,0,57845
", this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",0,22935
"to learn , to grow , ",1,61409
just because a walk to remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls . ,0,52476
be ( assayas ' ) homage to the gallic ` tradition of quality ,1,50307
no amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas . ,0,33333
become wearisome ,0,39521
stirs us ,1,65777
a helping hand ,1,20482
less of a trifle if ms. sugarman followed through on her defiance of the saccharine ,0,20042
a limp eddie murphy vehicle that even he seems embarrassed to be part of . ,0,15876
one of those exceedingly rare films in which the talk alone is enough to keep us involved . ,1,53436
hmmm ,0,2803
equal amounts of beautiful movement and inside information . ,1,21450
it labors as storytelling . ,0,54090
is worse : ,0,313
"it 's never laugh-out-loud funny , but it is frequently amusing . ",1,56562
the film never finds its tone and several scenes run too long . ,0,44563
the story 's pathetic and ,0,59239
"is overlong and not well-acted , but credit writer-producer-director ",0,33643
suits the script ,1,32495
", the french-produced `` read my lips '' is a movie that understands characters must come first . ",1,19260
the heart and ,1,32894
needless ,0,39388
its sheer dynamism is infectious . ,1,51815
overladen ,0,32051
to send your regrets ,0,19287
intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix ,0,31502
they 're treading water at best in this forgettable effort ,0,50354
fun-loving ,1,41239
soliloquies about nothing delivered by the former mr. drew barrymore ,0,20239
bad enough ,0,37806
"a hard look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol . ",1,50093
spirit-crushing ennui ,0,27605
your brain and your secret agent decoder ring at the door ,0,33076
"judd 's characters ought to pick up the durable best seller smart women , foolish choices for advice . ",0,44849
three-hour endurance test ,0,42874
mariah carey gives us another peek at some of the magic we saw in glitter here in wisegirls . ,1,41062
fourth-rate ,0,17989
"feels homogenized and a bit contrived , ",0,46011
"approached the usher and said that if she had to sit through it again , she should ask for a raise ",0,27833
very capable ,1,62992
"it ends up being neither , and fails at both endeavors . ",0,64834
"try this obscenely bad dark comedy , so crass that it makes edward burns ' sidewalks of new york look like oscar wilde ",0,25238
that stinks so badly of hard-sell image-mongering you ,0,37607
"scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf ",1,18485
melancholic ,0,57458
' it also rocks . ,1,17970
"of marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,47997
into a black hole of dullness ,0,5736
"are we dealing with dreams , visions or being told what actually happened as if it were the third ending of clue ? ",0,57364
instructive ,1,65913
amazing ,1,1597
"the script boasts some tart tv-insider humor , but the film has not a trace of humanity or empathy ",0,44400
critics have come to term an `` ambitious failure ,0,37833
her real-life persona is so charmless and vacant ,0,12156
"cannon 's confidence and laid-back good spirits are , with the drumming routines , among the film 's saving graces . ",1,13681
"the chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film . ",0,50656
quite touching ,1,55257
the wobbly premise work ,0,48057
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . ,1,42619
these people mattered ,1,56504
a script that assumes you are n't very bright ,0,10770
it is hard not to be especially grateful for freedom after a film like this . ,1,4926
the movie 's charm ,1,61650
mostly martha is mostly unsurprising ,0,32069
be most effective if used as a tool to rally anti-catholic protestors ,0,59599
it 's tough to be startled when you 're almost dozing . ,0,20698
targeted to the tiniest segment of an already obscure demographic . ,0,10557
rip-roaring comedy action ,1,47161
work that lacks both a purpose and a strong pulse ,0,4942
"'s not enough intelligence , wit or innovation on the screen to attract and sustain an older crowd . ",0,24492
's touching and tender and proves that even in sorrow you can find humor ,1,47431
possible argentine american beauty reeks ,0,60876
the cast is top-notch ,1,51717
'd do well to check this one out because it 's straight up twin peaks action ,1,19530
believing it was just coincidence ,1,26648
recycled ,0,54639
"it 's kind of insulting , both to men and women . ",0,3238
fake backdrops ,0,35369
"it 's a talking head documentary , but a great one . ",1,19346
as a masterfully made one ,1,6909
is its utter sincerity . ,1,25441
the optimism of a group of people who are struggling to give themselves a better lot in life than the ones ,1,66611
come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanboy ,1,1582
as single-minded as john carpenter 's original ,0,21169
to be mesmerised ,1,652
daft by half ... but supremely good natured ,1,1569
some of the most inventive ,1,27607
the numerous scenes ,1,783
teen-sleaze ,0,64201
"the most ravaging , gut-wrenching , frightening war scenes since `` saving private ryan '' ",1,12406
it is spooky and subtly in love with myth ,1,57859
funniest american comedy ,1,35116
pure craft ,1,14190
painful and ,0,1860
enjoys ,1,63689
is never dull ,1,16568
are both overplayed and exaggerated ,0,59704
is as visceral as a gut punch ,1,19632
"hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial . ",0,53283
the pool drowned me in boredom . ,0,56795
is unusual but unfortunately also irritating . ,0,10531
lost in the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0,51073
does n't wrap the proceedings up neatly ,0,16946
"'s fun , wispy , wise and surprisingly inoffensive for a film about a teen in love with his stepmom . ",1,37422
lighthearted glow ,1,6091
hip-hop prison thriller of stupefying absurdity ,0,34653
pushes its agenda too forcefully ,0,47877
"pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance . ",1,7586
its drastic iconography ,1,66617
"love , memory , history ",1,56802
of the people who loved the 1989 paradiso will prefer this new version ,1,51084
"... it is visually ravishing , penetrating , impenetrable . ",1,2973
"could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ",0,43554
a really strong second effort ,1,18753
rare to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' ,0,20092
the operative word for `` bad company ,0,49975
affirming ' ,1,18778
if also somewhat hermetic . ,1,26851
babies are the kiss of death in this bitter italian comedy ,0,40342
"based on three short films and two features , here 's betting her third feature will be something to behold ",1,40500
for industrial-model meat freezers ,0,31736
often lethally dull ,0,9561
love the music ,1,52080
